category,eligible_orders,item_count,late_delivery_rate,at_risk_item_value,average_review_score
health_beauty,8647,9465,7.5647120972002113,94273.39,4.1895341416719847
watches_gifts,5493,5857,7.2050537817995561,91298.05,4.0713917082401514
bed_bath_table,9272,10953,7.0300374326668493,79235.10,3.9239220755239590
sports_leisure,7529,8430,6.3107947805456702,70453.26,4.1652142771875373
auto,3809,4139,7.0306837400338246,66549.23,4.1149341142020498
computers_accessories,6529,7643,6.4895983252649483,61459.32,3.9872485868279217
furniture_decor,6307,8160,7.0343137254901961,58515.94,3.9532178217821782
cool_stuff,3559,3718,5.8364712210866057,39269.48,4.1954459203036053
housewares,5743,6795,5.0036791758646063,38465.31,4.1062759029011249
baby,2809,2982,7.6794097920858484,37856.20,4.0780669144981413
toys,3803,4029,6.3539339786547530,31606.10,4.2081040520260130
garden_tools,3448,4268,6.5604498594189316,30479.21,4.0841981132075472
perfumery,3086,3340,6.4970059880239521,26807.64,4.2201862421147492
telephony,4093,4430,6.9525959367945824,25321.16,3.9943233424159855
office_furniture,1254,1668,7.9736211031175060,21751.17,3.5163240628778718
musical_instruments,611,651,7.3732718894009217,15765.18,4.2217054263565891
stationery,2264,2466,6.7721005677210057,15208.86,4.2464300285597715
electronics,2517,2729,7.5851960425064126,15185.58,4.0671586715867159
computers,177,199,5.0251256281407035,14487.00,4.2193877551020408
Unknown,1392,1537,7.4821080026024723,14131.92,3.9390163934426230
consoles_games,1018,1089,5.8769513314967860,12759.55,4.1390176088971270
pet_shop,1688,1924,4.9376299376299376,11020.60,4.2167101827676240
construction_tools_construction,736,916,6.3318777292576419,10739.45,4.0911086717892426
fashion_bags_accessories,1820,1985,5.2896725440806045,8324.65,4.1944303797468354
small_appliances,609,658,4.5592705167173252,7667.17,4.2235834609494640
home_appliances_2,227,231,6.0606060606060606,7316.21,4.1565217391304348
agro_industry_and_commerce,177,206,3.3980582524271845,6723.80,4.0873786407766990
audio,348,362,11.6022099447513812,6581.76,3.8379888268156425
furniture_living_room,414,495,7.0707070707070707,6501.45,3.9346938775510204
home_construction,483,596,5.8724832214765101,5802.83,3.9577702702702703
luggage_accessories,1019,1077,4.1782729805013928,5567.97,4.3522833178005592
home_confort,392,429,9.3240093240093240,4838.06,3.8524590163934426
home_appliances,747,754,4.5092838196286472,4508.83,4.2183754993342210
kitchen_dining_laundry_garden_furniture,241,274,4.3795620437956204,3573.90,4.0330882352941176
books_general_interest,495,536,6.1567164179104478,3423.60,4.5112781954887218
fixed_telephony,212,255,3.9215686274509804,3259.88,3.7579365079365079
air_conditioning,246,289,3.8062283737024221,2921.90,4.0528169014084507
construction_tools_lights,242,301,7.3089700996677741,2338.33,4.0821917808219178
industry_commerce_and_business,231,264,6.4393939393939394,2305.30,4.1226053639846743
food,441,499,7.0140280561122244,1835.70,4.2628336755646817
fashion_shoes,235,257,4.2801556420233463,1416.02,4.2806324110671937
costruction_tools_garden,190,232,5.6034482758620690,1397.98,4.1163793103448276
christmas_supplies,125,150,10.0000000000000000,1337.67,4.0699300699300699
food_drink,221,269,4.0892193308550186,1175.96,4.3643122676579926
books_technical,256,263,7.9847908745247148,1131.15,4.3893129770992366
art,195,197,6.0913705583756345,1026.71,4.0820512820512821
market_place,274,305,3.6065573770491803,993.99,4.0726072607260726
signaling_and_security,138,197,4.0609137055837563,964.97,4.0918367346938776
drinks,287,361,4.4321329639889197,878.22,4.1191135734072022
fashion_underwear_beach,117,127,9.4488188976377953,688.98,4.0476190476190476
fashion_male_clothing,106,125,5.6000000000000000,559.40,3.7580645161290323
construction_tools_safety,159,183,2.7322404371584699,329.75,3.9670329670329670
