metric,value
total_orders,99441.0
delivered_orders,96478.0
eligible_delivered_orders,96470.0
early_orders,88644.0
on_time_orders,1292.0
late_orders,6534.0
late_delivery_rate,6.7730900798175595
average_delay_days,10.620140801958984
median_delay_days,7.0
p90_delay_days,22.0
eligible_gross_order_value,15418394.83
at_risk_order_value,1150892.13
at_risk_order_value_share,7.464409510130568
on_time_average_review_score,4.290386055923885
late_average_review_score,2.270490518727472
review_score_gap,2.0198955371964127
cancellation_and_unavailable_rate,1.2409368369183738
delivery_timestamp_coverage,97.01833247855512
review_coverage_rate,99.3303617704986
