month,eligible_orders,late_orders,late_delivery_rate,median_total_delivery_days,at_risk_order_value,average_review_score,review_coverage
2016-09,1,1,100.0000000000000000,54.81319444444444,143.46,1.00000000000000000000,100.0000000000000000
2016-10,265,2,0.75471698113207547170,17.944282407407407,198.86,4.0114503816793893,98.8679245283018868
2016-12,1,0,0E-20,4.693020833333334,,5.0000000000000000,100.0000000000000000
2017-01,750,22,2.9333333333333333,10.733645833333334,3544.88,4.1983805668016194,98.8000000000000000
2017-02,1653,49,2.9643073200241984,10.971203703703704,7389.20,4.2032866707242848,99.3950393224440411
2017-03,2546,116,4.5561665357423409,10.126487268518519,19343.55,4.1867827463395330,99.2537313432835821
2017-04,2303,151,6.5566652192792010,12.748622685185186,31963.16,4.1353711790393013,99.4355188884064264
2017-05,3545,106,2.9901269393511989,9.793333333333333,17238.97,4.2362809212396929,99.2101551480959097
2017-06,3135,95,3.0303030303030303,10.804907407407407,28779.84,4.2227579556412729,99.2344497607655502
2017-07,3872,108,2.7892561983471074,10.158072916666665,21724.16,4.2595002602811036,99.2252066115702479
2017-08,4193,122,2.9096112568566659,9.769814814814815,19455.73,4.3128451380552221,99.3322203672787980
2017-09,4150,182,4.3855421686746988,10.314432870370371,31410.81,4.2678484701311316,99.2289156626506024
2017-10,4478,187,4.1759714158106297,10.263362268518518,30213.45,4.2049032838506523,99.2853952657436356
2017-11,7288,904,12.4039517014270033,12.698680555555555,148874.40,3.9888075169269034,99.3002195389681668
2017-12,5513,411,7.4551061128242336,13.1421875,88080.66,4.0884453396813770,99.0567748957010702
2018-01,7069,403,5.7009478002546329,11.830115740740741,79425.30,4.1085127620134037,99.2078087423963786
2018-02,6555,926,14.1266209000762777,14.26375,149776.77,3.8805901337021669,99.2677345537757437
2018-03,7003,1328,18.9633014422390404,13.367731481481481,222171.24,3.8126079447322971,99.2146223047265458
2018-04,6798,306,4.5013239187996470,9.314728009259259,57514.44,4.2058649289099526,99.3233303912915563
2018-05,6749,443,6.5639353978367166,9.14787037037037,76949.56,4.2363879797679262,99.5999407319602904
2018-06,6096,71,1.1646981627296588,7.95761574074074,14999.07,4.3073122529644269,99.6062992125984252
2018-07,6156,208,3.3788174139051332,7.5017245370370365,42191.98,4.3174239947695325,99.3827160493827160
2018-08,6351,393,6.1880018894662258,7.013703703703704,59502.64,4.3102685624012638,99.6693434104865376
